COM,LIBCOM,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
94017,Champigny-sur-Marne,NA,NA,12266.25,19972.1875,29304.6875,0.8678125,6278.75,10530.3125,13865.625,16903.125,23189.375,27041.875,31782.1875,40080.625,7.175,8.771875,0.36065625,76.9625,NA,NA,NA,19.840625,3.196875,0.03125
94018,Charenton-le-Pont,NA,NA,20746,31897,46486,0.807,12078,18210,23141,27627,36809,42677,50955,67191,5.66,7.54,0.3675,74.41,65.56,2.35,6.5,18.47,7.12,0
94019,Chennevières-sur-Marne,NA,NA,15483.75,23242.5,32683.75,0.76875,9321.25,13706.25,17181.25,20213.75,26657.5,30476.25,35855,45453.75,5.45,6.95,0.33875,73.275,67.15,2.9125,3.2125,22.224999999999998,4.5,0
94021,Chevilly-Larue,NA,NA,13972.5,22011.25,31295,0.80625,7286.25,12125,15785,18937.5,25387.5,29040,33795,41573.75,6.35,7.5625,0.33575,77.125,71.75,3.275,2.1,20.6,2.275,0
94022,Choisy-le-Roi,61.241176470588236,31.67058823529412,11143.529411764706,19479.41176470588,28942.352941176472,0.9223529411764706,5231.764705882353,9308.235294117647,12990,16213.529411764706,23048.235294117647,26784.117647058825,31695.882352941175,39377.05882352941,7.676470588235294,9.423529411764706,0.3675294117647059,79.10588235294118,73.08823529411765,3.711764705882353,2.3058823529411763,18.494117647058822,2.4,0
94028,Créteil,NA,NA,12083.548387096775,19968.387096774193,29497.41935483871,0.8925806451612903,6079.032258064516,10403.870967741936,13710,16892.25806451613,23266.774193548386,27166.129032258064,32244.83870967742,40410.32258064516,7.716129032258064,9.022580645161291,0.3619032258064516,76.1483870967742,69.44193548387096,3.4838709677419355,3.2225806451612904,21.20967741935484,2.641935483870968,0.03225806451612903
94033,Fontenay-sous-Bois,NA,NA,16281.42857142857,26203.333333333332,38766.19047619047,0.861904761904762,8530.47619047619,13995.238095238095,18347.14285714286,22181.904761904763,30301.428571428572,35625.23809523809,42755.23809523809,55045.71428571428,6.719047619047619,8.69047619047619,0.37138095238095237,75.89047619047619,69.01904761904763,2.9523809523809526,3.919047619047619,18.738095238095237,5.371428571428572,0
94034,Fresnes,NA,NA,15011.111111111111,23433.333333333332,33032.22222222222,0.7866666666666666,8104.444444444444,13183.333333333334,16704.444444444445,20238.88888888889,26808.88888888889,30616.666666666668,35758.88888888889,43965.555555555555,5.766666666666667,6.866666666666666,0.3313333333333333,79.41111111111111,74.22222222222221,2.977777777777778,2.2111111111111112,18.144444444444446,2.4444444444444446,0
94037,Gentilly,NA,NA,12926.25,21767.5,32346.25,0.905,6030,10841.25,14738.75,18201.25,25397.5,29525,35342.5,44611.25,7.6875,9.6125,0.37024999999999997,77.6625,71.275,3.4375,2.95,19.55,2.7875,0
94038,L'Haÿ-les-Roses,NA,NA,16259.166666666666,25119.166666666668,36525,0.8466666666666667,9553.333333333334,14389.166666666666,18055,21499.166666666668,29120,33717.5,40123.333333333336,50991.666666666664,6.041666666666667,7.841666666666667,0.35375,73.15,67.53333333333333,2.658333333333333,2.9583333333333335,22.691666666666666,4.158333333333333,0
94041,Ivry-sur-Seine,NA,NA,9811.363636363636,17970,28202.727272727272,1.029090909090909,4451.818181818182,8218.181818181818,11470,14634.545454545454,21571.81818181818,25734.545454545456,31088.636363636364,39584.09090909091,9.340909090909092,11.495454545454546,0.39754545454545454,78.57727272727273,71.75454545454545,3.909090909090909,2.9136363636363636,18.45909090909091,2.9636363636363634,0.045454545454545456
94042,Joinville-le-Pont,NA,NA,18848.75,29118.75,42887.5,0.8375,10361.25,16376.25,20948.75,24801.25,33735,39415,47338.75,60393.75,6.1875,8.05,0.367,76.075,67.975,2.6625,5.4375,18.65,5.275,0.125
94043,Le Kremlin-Bicêtre,68.15555555555555,24.07777777777778,13688.888888888889,23331.11111111111,34778.88888888889,0.9111111111111111,6711.111111111111,11865.555555555555,15852.222222222223,19703.333333333332,27223.333333333332,31922.222222222223,38056.666666666664,48328.88888888889,7.544444444444444,9.166666666666666,0.36677777777777776,78.97777777777777,72.84444444444445,2.922222222222222,3.2111111111111112,17.433333333333334,3.588888888888889,0
94044,Limeil-Brévannes,NA,NA,13075.714285714286,21004.285714285714,29104.285714285714,0.7785714285714286,7022.857142857143,11365.714285714286,14805.714285714286,17962.85714285714,23844.285714285714,27275.714285714286,31232.85714285714,38014.28571428572,5.828571428571428,7.228571428571429,0.3315714285714286,82.22857142857143,76.25714285714285,3.2285714285714286,2.742857142857143,15.271428571428572,2.5,0
94046,Maisons-Alfort,NA,NA,19190.434782608696,28110,38884.34782608696,0.7039130434782609,11237.391304347826,17083.043478260868,21071.739130434784,24656.08695652174,31847.391304347828,36130.86956521739,42193.913043478264,52294.782608695656,4.8,5.995652173913044,0.31573913043478263,76.81739130434782,70.57826086956521,2.5652173913043477,3.6739130434782608,18.930434782608696,4.252173913043478,0.08695652173913043
94052,Nogent-sur-Marne,NA,NA,23011.81818181818,35380.90909090909,52226.36363636364,0.8354545454545454,13234.545454545454,20275.454545454544,25559.090909090908,30492.727272727272,41114.545454545456,48002.72727272727,57266.36363636364,75612.72727272728,5.909090909090909,7.827272727272727,0.37236363636363634,74.75454545454545,67.26363636363637,2.190909090909091,5.3,17.527272727272727,7.718181818181818,0
94054,Orly,54.477777777777774,36.5,10824.444444444445,17558.88888888889,25407.777777777777,0.8566666666666667,5003.333333333333,9354.444444444445,12155.555555555555,14962.222222222223,20448.88888888889,23528.88888888889,27777.777777777777,33897.77777777778,7.888888888888888,8.7,0.34877777777777774,78.4,NA,NA,NA,19.522222222222222,2.077777777777778,0
94055,Ormesson-sur-Marne,NA,NA,21712,29914,41250,0.65,14510,19778,23102,26634,34038,38532,43940,53946,3.76,4.72,0.2944,69.18,63.36,1.8800000000000001,3.94,24.5,6.32,0
